Run ID,Size (MB),Tissue,Study,Tissue Code
DRR001625,17,brain,DRP000499,BRAIN
DRR001626,857,brain,DRP000499,BRAIN
DRR001623,918,brain,DRP000499,BRAIN
DRR001627,1273,brain,DRP000499,BRAIN
DRR001622,1415,brain,DRP000499,BRAIN
DRR001624,1415,brain,DRP000499,BRAIN
DRR001641,3624,brain,DRP000499,BRAIN
DRR001640,3795,brain,DRP000499,BRAIN
DRR001642,4054,brain,DRP000499,BRAIN
DRR001633,4100,brain,DRP000499,BRAIN
DRR001635,4706,brain,DRP000499,BRAIN
DRR001634,4709,brain,DRP000499,BRAIN
DRR001638,4829,brain,DRP000499,BRAIN
DRR001631,4843,brain,DRP000499,BRAIN
DRR001629,5487,brain,DRP000499,BRAIN
DRR001639,5493,brain,DRP000499,BRAIN
DRR001630,5515,brain,DRP000499,BRAIN
DRR001637,5944,brain,DRP000499,BRAIN
DRR001636,6630,brain,DRP000499,BRAIN
DRR001632,7462,brain,DRP000499,BRAIN
DRR001628,8558,brain,DRP000499,BRAIN
DRR165727,477,brain,DRP004845,BRAIN
DRR165726,496,brain,DRP004845,BRAIN
DRR165725,509,brain,DRP004845,BRAIN
DRR165713,521,brain,DRP004845,BRAIN
DRR165731,531,brain,DRP004845,BRAIN
DRR165723,532,brain,DRP004845,BRAIN
DRR165728,578,brain,DRP004845,BRAIN
DRR165724,579,brain,DRP004845,BRAIN
DRR165715,698,brain,DRP004845,BRAIN
DRR165733,726,brain,DRP004845,BRAIN
DRR165732,771,brain,DRP004845,BRAIN
DRR165714,864,brain,DRP004845,BRAIN
DRR165716,890,brain,DRP004845,BRAIN
DRR165734,950,brain,DRP004845,BRAIN
DRR165730,1215,brain,DRP004845,BRAIN
DRR165712,2663,brain,DRP004845,BRAIN
DRR165718,3010,brain,DRP004845,BRAIN
DRR165729,3322,brain,DRP004845,BRAIN
DRR165722,3385,brain,DRP004845,BRAIN
DRR165719,3389,brain,DRP004845,BRAIN
DRR165711,3872,brain,DRP004845,BRAIN
DRR165717,4031,brain,DRP004845,BRAIN
DRR165720,4124,brain,DRP004845,BRAIN
DRR165721,5545,brain,DRP004845,BRAIN
ERR103430,688,brain,ERP001304,BRAIN
ERR103425,717,brain,ERP001304,BRAIN
